iter	Logloss
0	0.679744921
1	0.6672226822
2	0.6553365331
3	0.6449742024
4	0.6344156946
5	0.6254386965
6	0.6157231291
7	0.6063918096
8	0.5983533411
9	0.5905525279
10	0.5836709238
11	0.5768428226
12	0.5716569623
13	0.5647559702
14	0.5586477933
15	0.5531768208
16	0.5480511512
17	0.5430752153
18	0.5376138692
19	0.5336006811
20	0.5293593288
21	0.5254948272
22	0.5214392826
23	0.5175326948
24	0.5144949545
25	0.5110663122
26	0.5081015641
27	0.5048148868
28	0.5021213348
29	0.4990592412
30	0.4960153872
31	0.4931879091
32	0.4907003296
33	0.4883020567
34	0.4861426214
35	0.4844337721
36	0.4825225644
37	0.4805622111
38	0.4788467078
39	0.4776888976
40	0.4761636942
41	0.4746511235
42	0.4727394429
43	0.4713198942
44	0.469615436
45	0.4682205783
46	0.466910501
47	0.4651960448
48	0.4639172789
49	0.4626072354
50	0.4614501345
51	0.460153129
52	0.4589440452
53	0.4579266124
54	0.4569218123
55	0.4556872268
56	0.4547834539
57	0.4538676901
58	0.4531538456
59	0.4522649684
60	0.4514700589
61	0.4505611181
62	0.4497356404
63	0.4489881878
64	0.4478852653
65	0.4471865867
66	0.4464302844
67	0.4453460744
68	0.4445558262
69	0.4438573503
70	0.4429761066
71	0.4422046047
72	0.4414638061
73	0.440865209
74	0.4403439613
75	0.4395277723
76	0.4389507249
77	0.4385358075
78	0.4381433518
79	0.4375900497
80	0.4368897835
81	0.4363885319
82	0.4357457544
83	0.4351508051
84	0.4346321921
85	0.4340531519
86	0.4333701458
87	0.4328698399
88	0.4322959001
89	0.4317074698
90	0.4308922604
91	0.4304045871
92	0.4299439355
93	0.4295638084
94	0.4291513904
95	0.4286906037
96	0.4282249193
97	0.427582412
98	0.4271260838
99	0.4266646554
100	0.4262840216
101	0.4259128454
102	0.4254833363
103	0.4250032629
104	0.4244980593
105	0.4241030703
106	0.4237245983
107	0.4233527128
108	0.4229034441
109	0.4224310043
110	0.4219936926
111	0.421599852
112	0.4212037822
113	0.4207007066
114	0.4204253559
115	0.4200357037
116	0.4196869217
117	0.4193660058
118	0.4189725706
119	0.4185001983
120	0.4181258134
121	0.417749672
122	0.4172361592
123	0.4169226067
124	0.4166373257
125	0.4163842679
126	0.4161132745
127	0.4159094975
128	0.415424425
129	0.4148145126
130	0.4145419654
131	0.4142994799
132	0.4139440776
133	0.4133421028
134	0.4129345487
135	0.4125098359
136	0.4121410241
137	0.4119175213
138	0.4116271398
139	0.4113728323
140	0.4111760471
141	0.4109398441
142	0.4107173884
143	0.410318515
144	0.4099289304
145	0.4096360156
146	0.4093520181
147	0.4091636096
148	0.4087592306
149	0.4083465086
150	0.4081604646
151	0.4078395825
152	0.4075358253
153	0.4071603595
154	0.4069631689
155	0.4067260202
156	0.4063788933
157	0.4061161077
158	0.405995456
159	0.4057480728
160	0.4055029864
161	0.405280936
162	0.4049813334
163	0.4047465153
164	0.4043788857
165	0.4041163704
166	0.4039033722
167	0.4036757823
168	0.4034817669
169	0.4031095436
170	0.4029806841
171	0.4026245387
172	0.4023448309
173	0.4021433845
174	0.4018098359
175	0.4015633985
176	0.4013046999
177	0.4010743403
178	0.4008106766
179	0.4005828841
180	0.4003914356
181	0.4001990753
182	0.4000554552
183	0.3996773547
184	0.3993462382
185	0.3990049547
186	0.3986401624
187	0.3984062224
188	0.3982245018
189	0.3981264808
190	0.3979387479
191	0.3976256682
192	0.3975840887
193	0.3973707527
194	0.3970391971
195	0.3966726146
196	0.3964220225
197	0.3963150506
198	0.3960722948
199	0.3959124617
200	0.395655756
201	0.3954401908
202	0.3952593484
203	0.395030171
204	0.3948076815
205	0.3946167398
206	0.3943873259
207	0.3941380174
208	0.3937228297
209	0.3935161479
210	0.3932748445
