iter	Passed	Remaining
0	50	49974
1	55	27642
2	59	19746
3	62	15441
4	64	12854
5	67	11121
6	69	9903
7	72	8987
8	75	8268
9	77	7695
10	80	7236
11	83	6852
12	85	6503
13	88	6227
14	91	5986
15	93	5767
16	96	5573
17	99	5422
18	103	5366
19	109	5360
20	114	5335
21	118	5269
22	121	5158
23	124	5069
24	127	4983
25	130	4902
26	133	4819
27	136	4741
28	139	4676
29	144	4666
30	147	4597
31	149	4525
32	151	4452
33	154	4387
34	157	4336
35	160	4300
36	163	4258
37	166	4218
38	169	4178
39	171	4116
40	176	4118
41	179	4091
42	182	4060
43	185	4025
44	188	3993
45	191	3962
46	193	3933
47	197	3907
48	200	3884
49	203	3861
50	206	3840
51	209	3816
52	212	3796
53	215	3775
54	218	3755
55	221	3735
56	224	3722
57	228	3704
58	231	3686
59	234	3668
60	237	3650
61	240	3634
62	243	3616
63	246	3600
64	249	3586
65	252	3574
66	255	3562
67	259	3550
68	262	3537
69	265	3527
70	268	3514
71	271	3502
72	275	3492
73	278	3481
74	281	3470
75	284	3459
76	287	3450
77	291	3442
78	294	3431
79	297	3422
80	300	3412
81	303	3403
82	307	3394
83	310	3384
84	313	3375
85	316	3365
86	319	3356
87	323	3348
88	326	3342
89	329	3333
90	333	3326
91	336	3319
92	339	3314
93	343	3307
94	346	3301
95	349	3293
96	353	3287
97	356	3282
98	359	3275
99	363	3268
100	366	3263
101	370	3258
102	373	3252
103	376	3246
104	380	3241
105	383	3236
106	387	3231
107	390	3224
108	393	3219
109	397	3214
110	400	3208
111	404	3208
112	408	3202
113	411	3196
114	414	3192
115	418	3186
116	421	3183
117	425	3177
118	428	3171
119	431	3165
120	435	3161
121	438	3156
122	442	3152
123	445	3148
124	449	3143
125	452	3138
126	455	3134
127	459	3129
128	462	3123
129	466	3118
130	469	3113
131	472	3104
132	475	3099
133	478	3095
134	482	3089
135	485	3085
136	489	3080
137	492	3075
138	495	3070
139	499	3065
140	502	3062
141	506	3058
142	509	3055
143	513	3051
144	516	3047
145	520	3046
146	524	3041
147	527	3039
148	531	3034
149	535	3033
150	538	3030
151	543	3031
152	546	3027
153	550	3024
154	554	3021
155	559	3025
156	562	3022
157	566	3019
158	573	3032
159	577	3033
160	581	3029
161	589	3047
162	593	3046
163	597	3044
164	602	3050
165	607	3050
166	610	3047
167	614	3044
168	618	3042
169	623	3044
170	627	3041
171	631	3038
172	635	3037
173	639	3034
174	643	3031
175	646	3025
176	650	3023
177	654	3022
178	658	3019
179	662	3015
180	665	3012
181	669	3011
182	673	3007
183	677	3004
184	681	3001
185	685	3000
186	689	2999
187	693	2995
188	697	2992
189	701	2991
190	705	2987
191	708	2983
192	711	2974
193	715	2973
194	719	2971
195	724	2970
196	727	2966
197	733	2969
198	736	2965
199	739	2959
200	742	2950
201	745	2946
202	750	2946
203	754	2943
204	758	2940
205	761	2935
206	765	2933
207	769	2931
208	773	2926
209	776	2922
210	782	2924
211	785	2919
212	788	2912
213	791	2907
214	795	2903
215	799	2901
216	803	2898
217	807	2894
218	810	2890
219	814	2888
220	818	2886
221	822	2881
222	825	2877
223	829	2874
224	833	2871
225	837	2869
226	841	2865
227	845	2861
228	850	2863
229	854	2860
230	858	2856
231	862	2855
232	866	2853
233	870	2849
234	874	2845
235	878	2843
236	884	2847
237	888	2844
238	892	2840
239	895	2837
240	899	2833
241	903	2830
242	907	2826
243	911	2823
244	915	2819
245	918	2815
246	922	2811
247	925	2807
248	929	2804
249	934	2803
250	938	2799
251	941	2795
252	945	2792
253	950	2791
254	954	2787
255	957	2783
256	961	2780
257	965	2776
258	968	2772
259	972	2767
260	976	2764
261	979	2760
262	983	2755
263	987	2751
264	990	2747
265	994	2743
266	997	2739
267	1001	2735
268	1006	2735
269	1010	2731
270	1013	2727
271	1017	2723
272	1021	2719
273	1024	2715
274	1028	2712
275	1032	2708
276	1036	2704
277	1040	2701
278	1043	2697
279	1047	2693
280	1051	2690
281	1055	2686
282	1058	2682
283	1062	2678
284	1065	2674
285	1069	2669
286	1073	2667
287	1077	2662
288	1080	2659
289	1084	2655
290	1088	2652
291	1092	2649
292	1096	2645
293	1100	2642
294	1104	2638
295	1108	2636
296	1112	2633
297	1116	2629
298	1120	2626
299	1123	2621
300	1127	2618
301	1131	2614
302	1135	2610
303	1138	2606
304	1142	2603
305	1146	2600
306	1150	2597
307	1154	2593
308	1158	2589
309	1161	2585
310	1165	2581
311	1169	2578
312	1173	2574
313	1176	2571
314	1180	2568
315	1184	2564
316	1189	2561
317	1192	2557
318	1196	2554
319	1200	2551
320	1206	2551
321	1211	2551
322	1216	2548
323	1219	2544
324	1224	2542
325	1229	2541
326	1233	2537
327	1238	2536
328	1243	2536
329	1248	2533
330	1253	2532
331	1257	2530
332	1262	2527
333	1266	2524
334	1271	2524
335	1277	2523
336	1281	2521
337	1285	2518
338	1291	2517
339	1294	2513
340	1298	2509
341	1302	2506
342	1307	2504
343	1311	2501
344	1315	2497
345	1320	2496
346	1327	2498
347	1332	2495
348	1336	2492
349	1341	2491
350	1345	2488
351	1349	2483
352	1353	2480
353	1358	2478
354	1363	2476
355	1368	2476
356	1373	2473
357	1377	2469
358	1380	2465
359	1386	2464
360	1391	2462
361	1395	2459
362	1400	2457
363	1405	2456
364	1409	2452
365	1414	2449
366	1419	2448
367	1423	2444
368	1427	2440
369	1431	2436
370	1435	2433
371	1439	2430
372	1443	2426
373	1447	2422
374	1451	2418
375	1455	2415
376	1459	2411
377	1463	2408
378	1467	2405
379	1471	2401
380	1476	2398
381	1479	2393
382	1484	2390
383	1488	2387
384	1492	2383
385	1496	2379
386	1499	2375
387	1504	2372
388	1508	2369
389	1512	2365
390	1516	2361
391	1520	2357
392	1524	2354
393	1528	2350
394	1532	2346
395	1536	2343
396	1540	2339
397	1544	2335
398	1547	2331
399	1551	2327
400	1555	2323
401	1559	2319
402	1563	2316
403	1567	2312
404	1571	2308
405	1574	2303
406	1578	2299
407	1582	2295
408	1586	2291
409	1589	2287
410	1593	2283
411	1597	2280
412	1601	2276
413	1605	2272
414	1608	2268
415	1612	2264
416	1616	2259
417	1620	2256
418	1624	2251
419	1628	2248
420	1632	2244
421	1635	2240
422	1639	2236
423	1643	2232
424	1647	2228
425	1651	2224
426	1655	2221
427	1658	2217
428	1662	2213
429	1667	2209
430	1670	2205
431	1674	2201
432	1678	2197
433	1681	2193
434	1685	2189
435	1689	2185
436	1694	2182
437	1698	2179
438	1702	2175
439	1706	2171
440	1710	2167
441	1714	2164
442	1717	2160
443	1721	2156
444	1725	2152
445	1729	2148
446	1732	2143
447	1736	2139
448	1740	2135
449	1744	2131
450	1747	2127
451	1751	2123
452	1755	2120
453	1759	2116
454	1763	2112
455	1767	2108
456	1770	2104
457	1774	2100
458	1778	2096
459	1782	2092
460	1786	2088
461	1790	2085
462	1794	2080
463	1797	2076
464	1801	2072
465	1805	2068
466	1808	2064
467	1812	2060
468	1816	2056
469	1820	2053
470	1824	2049
471	1828	2045
472	1832	2041
473	1835	2037
474	1840	2033
475	1844	2030
476	1848	2026
477	1852	2022
478	1856	2018
479	1861	2016
480	1865	2012
481	1869	2008
482	1873	2005
483	1876	2001
484	1881	1997
485	1885	1993
486	1888	1989
487	1893	1986
488	1896	1982
489	1900	1978
490	1904	1974
491	1908	1970
492	1912	1966
493	1916	1962
494	1920	1959
495	1924	1955
496	1927	1951
497	1931	1947
498	1935	1943
499	1940	1940
500	1945	1937
501	1949	1933
502	1952	1929
503	1956	1925
504	1960	1922
